G726812	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G72/68/12	PRJEB41201	ERR4817432	L4	L4.1.1.3		United Kingdom
G721041	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G72/10/41	PRJEB32234	ERR3287878	L4	L4.1.2.1		Peru
G760680	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G76/06/80	PRJNA1074793	SRR28706560	L2	L2.2.1/Central_Asia	2022-01-01 00:00:00.000	Kazakhstan
G755336	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G75/53/36	PRJNA766641	SRR21710656	L4	L4.3.3	2019-01-01 00:00:00.000	United States of America
G734575	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G73/45/75	PRJEB26002	ERR2517469	L1	L1.2.1		Netherlands
G42545	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G42/54/5	PRJEB50582	ERR11243647	L2	L2.2.1/Central_Asia	2016-01-01 00:00:00.000	Georgia
G759929	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G75/99/29	PRJNA1074785	SRR29539667	L2	L2.2.1/Europe_Russia_W148_Outbreak	2021-01-01 00:00:00.000	Ukraine
G11233	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G11/23/3		SRR1159279;SRR1159003	L2	L2.2.1/Europe_Russia_W148_Outbreak		Belarus
G727343	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G72/73/43	PRJEB41201	ERR4818102	L4	L4.8		United Kingdom
G711981	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G71/19/81	PRJNA874331	SRR21276928	L2	L2.2.1.1/Pacific_RD150	2013-01-01 00:00:00.000	China
G718990	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G71/89/90	PRJNA834606	SRR19303924	L4	L4.1.2.1	2020-05-27 00:00:00.000	Italy
G757307	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G75/73/07	PRJNA766641	SRR28409596	L4	L4.1.2.1	2019-01-01 00:00:00.000	United States of America
G41249	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G41/24/9		SRR7236186	La1	La1.8.1		Mexico
G734486	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G73/44/86	PRJEB26002	ERR2517147	L4	L4.2.2		Netherlands
G745066	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G74/50/66	PRJNA302362	SRR7070324	L3	L3.1.1	2016-09-09 00:00:00.000	United Kingdom
G751616	/scicore/home/gagneux/GROUP/tbresearch/genomes/IN_PROGRESS/common_mappings/PipelineTB/v2/G75/16/16	PRJNA736718	SRR14807534	L4	L4.2.1	2018-01-08 00:00:00.000	Moldova
